File_Number,Count,Percentage
213,2270,100.00%
23,2270,100.00%
672,2270,100.00%
104,2270,100.00%
917,11,0.48%
565,2197,96.78%
787,2268,99.91%
441,2270,100.00%
833,2270,100.00%
337,1054,46.43%
490,2270,100.00%
756,2270,100.00%
178,2270,100.00%
519,2270,100.00%
1000,5,0.22%
780,633,27.89%
834,2270,100.00%
446,2270,100.00%
497,2270,100.00%
330,2270,100.00%
751,140,6.17%
268,2270,100.00%
609,2270,100.00%
58,2270,100.00%
89,2270,100.00%
848,933,41.10%
899,2270,100.00%
214,2270,100.00%
675,2270,100.00%
24,1081,47.62%
103,2270,100.00%
562,281,12.38%
910,2270,100.00%
448,2270,100.00%
499,2270,100.00%
266,2270,100.00%
56,2270,100.00%
607,2270,100.00%
171,2270,100.00%
87,2270,100.00%
510,2270,100.00%
962,2270,100.00%
393,2270,100.00%
846,691,30.44%
434,499,21.98%
342,2270,100.00%
897,2270,100.00%
723,2270,100.00%
433,2270,100.00%
841,2270,100.00%
394,2270,100.00%
890,2270,100.00%
345,2269,99.96%
724,2270,100.00%
919,2270,100.00%
789,2270,100.00%
339,2270,100.00%
758,2270,100.00%
261,2270,100.00%
600,2270,100.00%
51,2270,100.00%
80,2270,100.00%
176,2220,97.80%
965,2270,100.00%
517,2270,100.00%
711,2270,100.00%
370,1329,58.55%
406,2270,100.00%
874,2270,100.00%
698,2270,100.00%
649,2270,100.00%
18,2270,100.00%
228,2270,100.00%
808,2270,100.00%
6,47,2.07%
950,2270,100.00%
522,2270,100.00%
285,2270,100.00%
143,2270,100.00%
192,2270,100.00%
635,2270,100.00%
64,2270,100.00%
981,2270,100.00%
254,47,2.07%
282,2270,100.00%
525,2270,100.00%
957,2270,100.00%
1,1995,87.89%
144,2270,100.00%
63,2270,100.00%
632,2270,100.00%
195,2270,100.00%
253,2270,100.00%
986,2270,100.00%
716,2270,100.00%
377,2270,100.00%
873,2270,100.00%
401,2270,100.00%
559,2270,100.00%
138,2270,100.00%
588,2270,100.00%
764,2270,100.00%
305,2270,100.00%
801,2270,100.00%
473,241,10.62%
959,2270,100.00%
988,2270,100.00%
718,2270,100.00%
379,2270,100.00%
557,2270,100.00%
925,2270,100.00%
136,543,23.92%
691,2270,100.00%
640,2270,100.00%
11,2270,100.00%
586,2270,100.00%
221,2270,100.00%
408,2270,100.00%
922,1062,46.78%
550,2270,100.00%
696,1762,77.62%
131,2270,100.00%
16,2270,100.00%
647,2270,100.00%
226,2270,100.00%
581,2270,100.00%
763,0,0.00%
302,839,36.96%
474,2270,100.00%
806,2270,100.00%
8,2270,100.00%
656,1264,55.68%
590,591,26.04%
237,548,24.14%
541,2270,100.00%
933,2270,100.00%
120,2270,100.00%
687,2270,100.00%
419,2270,100.00%
817,2270,100.00%
465,2270,100.00%
772,2270,100.00%
313,2270,100.00%
999,1538,67.75%
948,2270,100.00%
462,1338,58.94%
810,2270,100.00%
775,2270,100.00%
314,2270,100.00%
651,2270,100.00%
230,2270,100.00%
597,2270,100.00%
934,2270,100.00%
546,2270,100.00%
680,2270,100.00%
127,2270,100.00%
709,36,1.59%
368,2270,100.00%
72,2270,100.00%
184,2270,100.00%
623,2270,100.00%
997,2270,100.00%
242,2107,92.82%
946,2270,100.00%
534,2270,100.00%
293,2270,100.00%
155,2270,100.00%
599,2270,100.00%
548,2270,100.00%
129,2270,100.00%
410,2270,100.00%
862,2270,100.00%
707,2250,99.12%
366,2270,100.00%
658,2270,100.00%
239,2270,100.00%
689,2270,100.00%
865,2270,100.00%
417,79,3.48%
700,2270,100.00%
361,2270,100.00%
624,2270,100.00%
183,2270,100.00%
75,2270,100.00%
245,395,17.40%
990,2270,100.00%
294,2270,100.00%
533,2270,100.00%
941,1604,70.66%
152,2270,100.00%
819,2270,100.00%
908,2270,100.00%
354,2270,100.00%
881,2270,100.00%
735,2270,100.00%
385,2270,100.00%
850,2270,100.00%
422,2190,96.48%
91,2270,100.00%
167,2270,100.00%
506,2270,100.00%
974,2270,100.00%
270,2208,97.27%
611,2270,100.00%
40,2270,100.00%
328,528,23.26%
749,2270,100.00%
798,2270,100.00%
160,2270,100.00%
96,2270,100.00%
973,2270,100.00%
501,2270,100.00%
277,2225,98.02%
47,2270,100.00%
616,2270,100.00%
488,2270,100.00%
459,2270,100.00%
886,2270,100.00%
353,2270,100.00%
732,2270,100.00%
425,2270,100.00%
857,2270,100.00%
382,1256,55.33%
98,2270,100.00%
279,2270,100.00%
618,2270,100.00%
49,727,32.03%
321,2270,100.00%
486,2270,100.00%
740,2164,95.33%
791,2270,100.00%
457,2270,100.00%
825,2270,100.00%
112,2270,100.00%
901,499,21.98%
573,2270,100.00%
205,2270,100.00%
664,2270,100.00%
35,2270,100.00%
888,2270,100.00%
859,2270,100.00%
115,2270,100.00%
574,2270,100.00%
906,2270,100.00%
202,2269,99.96%
32,2270,100.00%
663,2270,100.00%
169,2270,100.00%
508,2270,100.00%
481,2270,100.00%
326,1263,55.64%
747,2270,100.00%
796,2270,100.00%
822,2270,100.00%
450,2270,100.00%
409,2270,100.00%
923,2270,100.00%
551,2270,100.00%
130,2270,100.00%
697,2270,100.00%
17,2270,100.00%
646,2270,100.00%
580,2270,100.00%
227,2270,100.00%
762,2270,100.00%
303,2270,100.00%
475,2270,100.00%
807,2270,100.00%
9,2270,100.00%
765,825,36.34%
304,1514,66.70%
800,2270,100.00%
472,2270,100.00%
958,1747,76.96%
989,2270,100.00%
719,2270,100.00%
378,2270,100.00%
556,523,23.04%
924,2270,100.00%
690,2270,100.00%
137,2270,100.00%
641,2270,100.00%
10,2270,100.00%
220,2270,100.00%
587,2270,100.00%
524,2270,100.00%
956,2270,100.00%
283,2270,100.00%
145,1358,59.82%
62,2270,100.00%
194,2270,100.00%
633,2160,95.15%
987,2270,100.00%
252,2270,100.00%
717,2270,100.00%
376,2270,100.00%
872,2270,100.00%
400,2270,100.00%
558,2270,100.00%
139,2270,100.00%
589,2270,100.00%
710,2270,100.00%
371,2270,100.00%
407,2270,100.00%
875,2270,100.00%
699,2270,100.00%
648,2270,100.00%
19,2270,100.00%
229,2270,100.00%
809,2270,100.00%
284,2270,100.00%
951,2204,97.09%
7,2270,100.00%
523,2270,100.00%
142,323,14.23%
634,2270,100.00%
193,2269,99.96%
65,2270,100.00%
255,2270,100.00%
980,180,7.93%
395,2270,100.00%
432,2270,100.00%
840,2270,100.00%
344,2270,100.00%
891,2270,100.00%
725,2270,100.00%
918,2270,100.00%
788,2270,100.00%
338,2270,100.00%
759,2270,100.00%
260,2270,100.00%
601,2270,100.00%
50,2270,100.00%
81,2270,100.00%
177,2270,100.00%
964,2270,100.00%
516,2270,100.00%
449,2270,100.00%
498,2270,100.00%
267,2269,99.96%
57,298,13.13%
606,2270,100.00%
170,2270,100.00%
86,2270,100.00%
511,2270,100.00%
963,743,32.73%
847,2270,100.00%
435,2270,100.00%
392,2270,100.00%
896,2270,100.00%
343,2270,100.00%
722,2270,100.00%
781,2270,100.00%
835,2207,97.22%
447,2270,100.00%
331,2270,100.00%
496,2270,100.00%
750,2270,100.00%
269,2270,100.00%
608,2270,100.00%
59,964,42.47%
88,2270,100.00%
849,2270,100.00%
898,2270,100.00%
215,125,5.51%
674,456,20.09%
25,2270,100.00%
102,2270,100.00%
563,2270,100.00%
911,2270,100.00%
212,2270,100.00%
22,2270,100.00%
673,2270,100.00%
105,2270,100.00%
916,2270,100.00%
564,2270,100.00%
786,2270,100.00%
440,2270,100.00%
832,2270,100.00%
491,2270,100.00%
336,2270,100.00%
757,2270,100.00%
179,2270,100.00%
518,1121,49.38%
114,2270,100.00%
575,2270,100.00%
907,2270,100.00%
203,2270,100.00%
33,2270,100.00%
662,2270,100.00%
168,2270,100.00%
509,2270,100.00%
327,2270,100.00%
480,2270,100.00%
746,1611,70.97%
797,1591,70.09%
823,2270,100.00%
451,2270,100.00%
99,2270,100.00%
278,560,24.67%
619,2270,100.00%
48,2270,100.00%
487,2270,100.00%
320,2270,100.00%
741,2270,100.00%
790,2270,100.00%
456,2246,98.94%
824,2270,100.00%
113,2270,100.00%
900,42,1.85%
572,2270,100.00%
204,1635,72.03%
665,2270,100.00%
34,2270,100.00%
889,2270,100.00%
858,2270,100.00%
161,2270,100.00%
97,2270,100.00%
972,2270,100.00%
500,2270,100.00%
276,2270,100.00%
46,2270,100.00%
617,2270,100.00%
489,2270,100.00%
458,2270,100.00%
352,2270,100.00%
887,2270,100.00%
733,1678,73.92%
383,2270,100.00%
424,2270,100.00%
856,2270,100.00%
909,2270,100.00%
880,2270,100.00%
355,2270,100.00%
734,2270,100.00%
851,2268,99.91%
423,2270,100.00%
384,2202,97.00%
90,2270,100.00%
166,2270,100.00%
507,2270,100.00%
975,282,12.42%
271,2270,100.00%
610,2270,100.00%
41,2270,100.00%
329,2270,100.00%
748,2270,100.00%
799,2270,100.00%
