File_Number,Count,Percentage,Alleles
213,2270,100.00,1
23,2270,100.00,1
672,0,0.00,1
104,0,0.00,1
917,0,0.00,1
565,2270,100.00,1
787,2270,100.00,1
441,2270,100.00,1
833,0,0.00,1
337,0,0.00,1
490,2270,100.00,1
756,0,0.00,1
178,2270,100.00,1
519,2270,100.00,1
1000,0,0.00,1
780,0,0.00,1
834,2270,100.00,1
446,2270,100.00,1
497,0,0.00,1
330,2270,100.00,1
751,0,0.00,1
268,0,0.00,1
609,2270,100.00,1
58,2270,100.00,1
89,0,0.00,1
848,0,0.00,1
899,0,0.00,1
214,0,0.00,1
675,2270,100.00,1
24,0,0.00,1
103,0,0.00,1
562,0,0.00,1
910,2270,100.00,1
448,0,0.00,1
499,0,0.00,1
266,0,0.00,1
56,0,0.00,1
607,2270,100.00,1
171,0,0.00,1
87,0,0.00,1
510,2270,100.00,1
962,0,0.00,1
393,0,0.00,1
846,2270,100.00,1
434,0,0.00,1
342,2270,100.00,1
897,0,0.00,1
723,0,0.00,1
433,0,0.00,1
841,0,0.00,1
394,0,0.00,1
890,0,0.00,1
345,2270,100.00,1
724,0,0.00,1
919,2270,100.00,1
789,0,0.00,1
339,0,0.00,1
758,0,0.00,1
261,0,0.00,1
600,0,0.00,1
51,2270,100.00,1
80,0,0.00,1
176,0,0.00,1
965,0,0.00,1
517,0,0.00,1
711,0,0.00,1
370,0,0.00,1
406,2270,100.00,1
874,2270,100.00,1
698,2270,100.00,1
649,0,0.00,1
18,0,0.00,1
228,0,0.00,1
808,2270,100.00,1
6,0,0.00,1
950,2270,100.00,1
522,0,0.00,1
285,0,0.00,1
143,0,0.00,1
192,2270,100.00,1
635,2270,100.00,1
64,0,0.00,1
981,0,0.00,1
254,0,0.00,1
282,0,0.00,1
525,2270,100.00,1
957,2270,100.00,1
1,0,0.00,1
144,2270,100.00,1
63,0,0.00,1
632,2270,100.00,1
195,0,0.00,1
253,0,0.00,1
986,2270,100.00,1
716,2270,100.00,1
377,0,0.00,1
873,0,0.00,1
401,2270,100.00,1
559,0,0.00,1
138,2270,100.00,1
588,0,0.00,1
764,0,0.00,1
305,0,0.00,1
801,0,0.00,1
473,2270,100.00,1
959,0,0.00,1
988,2270,100.00,2
718,0,0.00,1
379,2270,100.00,1
557,0,0.00,1
925,0,0.00,1
136,0,0.00,1
691,2270,100.00,1
640,0,0.00,1
11,0,0.00,1
586,2270,100.00,1
221,2270,100.00,1
408,0,0.00,1
922,0,0.00,1
550,2270,100.00,1
696,0,0.00,1
131,2270,100.00,1
16,0,0.00,1
647,0,0.00,1
226,0,0.00,1
581,2270,100.00,1
763,2270,100.00,1
302,2270,100.00,1
474,2270,100.00,1
806,2270,100.00,1
8,0,0.00,1
656,2270,100.00,1
590,0,0.00,1
237,0,0.00,1
541,2270,100.00,1
933,2270,100.00,1
120,0,0.00,1
687,2270,100.00,1
419,0,0.00,1
817,2270,100.00,1
465,0,0.00,1
772,2270,100.00,1
313,2270,100.00,1
999,2270,100.00,1
948,0,0.00,1
462,0,0.00,1
810,0,0.00,1
775,2270,100.00,1
314,2270,100.00,1
651,2270,100.00,1
230,0,0.00,1
597,0,0.00,1
934,2270,100.00,1
546,2270,100.00,1
680,0,0.00,1
127,0,0.00,1
709,0,0.00,1
368,2270,100.00,1
72,2270,100.00,1
184,0,0.00,1
623,0,0.00,1
997,2270,100.00,1
242,2270,100.00,1
946,0,0.00,1
534,2270,100.00,1
293,0,0.00,1
155,2270,100.00,1
599,0,0.00,1
548,0,0.00,1
129,2270,100.00,1
410,0,0.00,1
862,0,0.00,1
707,0,0.00,1
366,261,11.50,2
658,0,0.00,1
239,2270,100.00,1
689,0,0.00,1
865,0,0.00,1
417,2270,100.00,1
